Sm_g00000001	14.87	More Ref
Sm_g00000002	18.6	More Alt
Sm_g00000005	34.46	More Alt
Sm_g00000008	6.79	More Alt
Sm_g00000013	40.01	More Alt
Sm_g00000020	19.05	More Ref
Sm_g00000025	44.27	More Ref
Sm_g00000026	28.83	More Ref
Sm_g00000028	No variants
Sm_g00000031	44.63	More Ref
Sm_g00000033	39.26	More Alt
Sm_g00000037	39.46	More Ref
Sm_g00000041	No variants
Sm_g00000050	55.76	More Alt
Sm_g00000051	8.29	More Alt
Sm_g00000054	14.07	More Alt
Sm_g00000055	55.23	More Ref
Sm_g00000056	19.36	More Alt
Sm_g00000057	8.53	Equal
Sm_g00000058	23.26	More Ref
Sm_g00000059	32.16	More Alt
Sm_g00000060	14.96	More Ref
Sm_g00000061	11.38	More Ref
Sm_g00000064	18.32	More Ref
Sm_g00000065	24.45	More Ref
Sm_g00000066	48.72	More Ref
Sm_g00000068	12.45	More Ref
Sm_g00000069	7.15	More Alt
Sm_g00000071	44.06	More Ref
Sm_g00000073	53.78	More Ref
Sm_g00000074	30.66	More Ref
Sm_g00000075	27.27	Equal
Sm_g00000076	51.99	More Ref
Sm_g00000077	5.85	More Ref
Sm_g00000078	16.77	More Alt
Sm_g00000079	50.76	More Alt
Sm_g00000080	41.53	More Ref
Sm_g00000081	18.49	More Ref
Sm_g00000082	No variants
Sm_g00000083	No variants
Sm_g00000085	39.1	More Ref
Sm_g00000086	29.15	More Alt
Sm_g00000087	74.33	More Alt
Sm_g00000088	34.38	More Ref
Sm_g00000091	14.38	More Alt
Sm_g00000092	12.85	More Alt
Sm_g00000093	No variants
Sm_g00000094	29.71	More Alt
Sm_g00000095	39.15	More Alt
Sm_g00000096	8.82	More Ref
Sm_g00000097	28.9	More Ref
Sm_g00000098	21.63	More Ref
Sm_g00000099	28.38	More Ref
Sm_g00000100	31.28	More Alt
Sm_g00000103	10.55	More Ref
Sm_g00000104	28.73	More Ref
Sm_g00000105	42.63	More Ref
Sm_g00000106	25.1	More Ref
Sm_g00000107	12.51	More Alt
Sm_g00000108	71.16	More Alt
Sm_g00000110	41.68	More Ref
Sm_g00000111	31.78	More Ref
Sm_g00000117	36.39	More Ref
Sm_g00000118	19.9	More Ref
Sm_g00000119	12.38	More Ref
Sm_g00000121	67.79	More Alt
Sm_g00000127	23.94	More Alt
Sm_g00000129	16.43	More Alt
Sm_g00000130	32.59	More Ref
Sm_g00000131	16.67	More Alt
Sm_g00000133	46.43	More Alt
Sm_g00000134	5.66	Equal
Sm_g00000135	9.41	More Alt
Sm_g00000137	25.84	More Alt
Sm_g00000138	20.55	More Ref
Sm_g00000139	8.99	More Ref
Sm_g00000140	43.18	More Ref
Sm_g00000143	17.84	More Alt
Sm_g00000144	30.4	More Ref
Sm_g00000145	39.39	More Ref
Sm_g00000147	14.28	More Alt
Sm_g00000148	17.49	More Ref
Sm_g00000149	60.0	More Alt
Sm_g00000150	29.53	More Ref
Sm_g00000151	28.46	More Ref
Sm_g00000152	40.44	More Ref
Sm_g00000155	15.2	More Ref
Sm_g00000156	28.89	More Ref
Sm_g00000157	6.24	More Alt
Sm_g00000159	13.39	More Ref
Sm_g00000163	No variants
Sm_g00000164	30.15	More Ref
Sm_g00000165	48.64	More Alt
Sm_g00000166	23.83	More Ref
Sm_g00000169	No variants
Sm_g00000170	21.41	More Ref
Sm_g00000175	8.52	More Alt
Sm_g00000177	62.01	More Ref
Sm_g00000178	15.68	More Alt
Sm_g00000179	35.19	More Ref
Sm_g00000183	12.77	More Alt
Sm_g00000184	25.99	More Ref
Sm_g00000185	10.78	More Ref
Sm_g00000186	14.92	More Ref
Sm_g00000187	12.56	More Alt
Sm_g00000188	23.07	More Ref
Sm_g00000190	36.89	More Alt
Sm_g00000194	16.33	More Alt
Sm_g00000195	8.24	More Alt
Sm_g00000197	35.85	More Ref
Sm_g00000198	25.3	More Alt
Sm_g00000200	36.22	More Ref
Sm_g00000201	31.0	More Ref
Sm_g00000204	53.5	More Ref
Sm_g00000205	13.17	More Ref
Sm_g00000206	39.38	More Alt
Sm_g00000207	38.22	More Ref
Sm_g00000208	16.66	More Ref
Sm_g00000209	21.52	More Ref
Sm_g00000210	39.49	More Ref
Sm_g00000211	10.09	More Ref
Sm_g00000212	29.14	More Alt
Sm_g00000214	33.42	More Ref
Sm_g00000215	16.99	More Alt
Sm_g00000216	44.86	More Ref
Sm_g00000217	55.78	More Ref
Sm_g00000218	No variants
Sm_g00000219	No variants
Sm_g00000220	No variants
Sm_g00000221	10.56	More Ref
Sm_g00000222	53.71	More Ref
Sm_g00000224	51.61	More Ref
Sm_g00000225	38.19	More Ref
Sm_g00000226	17.82	More Alt
Sm_g00000228	23.71	More Ref
Sm_g00000229	30.75	More Ref
Sm_g00000230	17.88	More Ref
Sm_g00000231	17.44	More Ref
Sm_g00000233	15.02	More Alt
Sm_g00000234	37.04	More Ref
Sm_g00000235	39.79	More Ref
Sm_g00000236	6.94	More Alt
Sm_g00000237	36.39	More Ref
Sm_g00000238	22.54	More Ref
Sm_g00000239	15.3	More Ref
Sm_g00000240	18.05	More Alt
Sm_g00000241	15.29	More Alt
Sm_g00000242	10.96	Equal
Sm_g00000243	30.9	More Ref
Sm_g00000244	33.37	More Ref
Sm_g00000245	43.04	More Ref
Sm_g00000249	24.46	More Ref
Sm_g00000250	26.06	More Ref
Sm_g00000251	36.8	More Alt
Sm_g00000252	4.23	More Ref
Sm_g00000253	14.95	More Alt
Sm_g00000255	21.38	More Alt
Sm_g00000256	8.57	More Alt
Sm_g00000258	8.05	More Alt
Sm_g00000259	55.45	More Ref
Sm_g00000260	No variants
Sm_g00000261	19.8	More Ref
Sm_g00000262	22.25	More Ref
Sm_g00000263	8.52	More Ref
Sm_g00000264	26.21	More Alt
Sm_g00000265	8.29	More Ref
Sm_g00000266	56.66	More Ref
Sm_g00000267	46.53	More Ref
Sm_g00000269	21.21	More Alt
Sm_g00000271	29.46	More Ref
Sm_g00000272	14.04	More Ref
Sm_g00000275	14.69	More Ref
Sm_g00000276	No variants
Sm_g00000278	76.83	More Alt
Sm_g00000279	25.07	More Alt
Sm_g00000280	28.66	More Ref
Sm_g00000281	13.64	Equal
Sm_g00000282	25.06	More Ref
Sm_g00000283	40.17	More Ref
Sm_g00000284	72.37	More Ref
Sm_g00000285	8.68	Equal
Sm_g00000288	12.92	More Alt
Sm_g00000291	35.41	More Ref
Sm_g00000292	20.34	More Ref
Sm_g00000293	44.32	More Ref
Sm_g00000296	14.32	More Ref
Sm_g00000298	22.32	More Ref
Sm_g00000299	37.5	More Ref
Sm_g00000301	13.52	More Ref
Sm_g00000302	15.03	More Ref
Sm_g00000303	34.32	More Ref
Sm_g00000304	26.87	More Ref
Sm_g00000305	18.26	More Alt
Sm_g00000306	61.84	More Ref
Sm_g00000309	17.63	More Ref
Sm_g00000310	36.9	More Ref
Sm_g00000311	28.31	More Alt
Sm_g00000312	50.83	More Ref
Sm_g00000313	30.55	More Ref
Sm_g00000315	19.8	More Alt
Sm_g00000316	15.36	More Ref
Sm_g00000317	27.1	More Ref
Sm_g00000325	30.71	More Ref
Sm_g00000326	18.77	More Ref
Sm_g00000327	34.23	More Ref
Sm_g00000328	33.9	More Ref
Sm_g00000329	35.14	More Ref
Sm_g00000330	13.1	Equal
Sm_g00000331	36.33	More Alt
Sm_g00000334	27.07	More Ref
Sm_g00000336	38.23	More Ref
Sm_g00000338	38.99	More Ref
Sm_g00000339	23.53	More Ref
Sm_g00000341	No variants
Sm_g00000342	No variants
