gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	24.46	21.45	21.59	22.5	1.69885255393162
Sm_t00000002-RA	NA	17.89	25.44	21.665	5.33865619795843
Sm_t00000005-RA	22.91	20.41	23.68	22.3333333333333	1.70957109630847
Sm_t00000008-RA	10.86	6.15	11.34	9.45	2.8679435140881
Sm_t00000018-RA	29.03	50	50	43.01	12.1070351449065
Sm_t00000020-RA	19.65	19.85	25.15	21.55	3.11929479209644
Sm_t00000025-RA	44.36	55.08	40.95	46.7966666666667	7.37341395374852
Sm_t00000033-RA	22.97	26.19	25.7	24.9533333333333	1.73500240153532
Sm_t00000037-RA	35.82	31.59	34.19	33.8666666666667	2.13345572565576
Sm_t00000050-RA	NA	75.01	60.77	67.89	10.0692005640964
Sm_t00000051-RA	11.74	16.84	11.88	13.4866666666667	2.90491537455626
Sm_t00000054-RA	14.86	10.04	15.39	13.43	2.94776186283763
Sm_t00000055-RA	48.52	48.43	52.34	49.7633333333333	2.23191248334995
Sm_t00000056-RA	21.21	13.79	22.79	19.2633333333333	4.80542748705392
Sm_t00000057-RA	17.89	21.41	12.07	17.1233333333333	4.71696229933347
Sm_t00000058-RA	31.94	29.74	18.16	26.6133333333333	7.40298138139853
Sm_t00000059-RA	23.3	29.79	16.62	23.2366666666667	6.58522841922232
Sm_t00000060-RA	24.65	35.07	40.7	33.4733333333333	8.14325692418785
Sm_t00000061-RA	14.24	9.5	10.28	11.34	2.5415743152621
Sm_t00000064-RA	24.38	16.89	24.97	22.08	4.50434234933358
Sm_t00000066-RA	10.29	12.04	22.41	14.9133333333333	6.55100246781615
Sm_t00000068-RA	19.14	9.31	16.54	14.9966666666667	5.09348930825749
Sm_t00000069-RA	18.83	17.23	23.98	20.0133333333333	3.52715655072657
Sm_t00000071-RA	45.43	47.4	40.17	44.3333333333333	3.73767753201548
Sm_t00000073-RA	28.89	52.43	59.47	46.93	16.014730718935
Sm_t00000075-RA	20.98	27.32	42.26	30.1866666666667	10.9257921146859
Sm_t00000076-RA	49.87	39.77	32.22	40.62	8.85564791531371
Sm_t00000077-RA	11.38	6.95	9.14	9.15666666666667	2.21504702734126
Sm_t00000078-RA	20.88	19.09	22.69	20.8866666666667	1.80000925923545
Sm_t00000079-RA	39.4	47.09	41.12	42.5366666666667	4.03599223653036
Sm_t00000081-RA	13.4	16.11	19.83	16.4466666666667	3.22819350927625
Sm_t00000086-RA	32.75	20.53	40.8	31.36	10.2062382884195
Sm_t00000087-RA	69.42	75.3	56	66.9066666666667	9.89242808077639
Sm_t00000088-RA	27.56	31.49	28.27	29.1066666666667	2.09433362512598
Sm_t00000091-RA	22.2	16.79	20.95	19.98	2.83243711315891
Sm_t00000092-RA	27.64	12.63	12.28	17.5166666666667	8.76881025757391
Sm_t00000096-RA	10.03	8.43	7.44	8.63333333333333	1.30691749293264
Sm_t00000097-RA	28.21	26.21	30.13	28.1833333333333	1.96013604969995
Sm_t00000098-RA	23.54	20.63	20.8	21.6566666666667	1.63322788775276
Sm_t00000099-RA	25.37	22.41	28.55	25.4433333333333	3.07065682441613
Sm_t00000100-RA	39.58	36.68	43.28	39.8466666666667	3.30807093837683
Sm_t00000103-RA	13.55	7.89	15.77	12.4033333333333	4.06321711619418
Sm_t00000104-RA	31.01	27.18	33.13	30.44	3.01567571200884
Sm_t00000105-RA	37.47	43.62	51.76	44.2833333333333	7.16805645439078
Sm_t00000106-RA	15.03	20.54	9.65	15.0733333333333	5.44512932200268
Sm_t00000107-RA	10.48	8.28	17.55	12.1033333333333	4.84351456417066
Sm_t00000111-RA	26.32	25.44	43.23	31.6633333333333	10.0266860593784
Sm_t00000117-RA	14.73	17.82	12.02	14.8566666666667	2.9020739710306
Sm_t00000118-RA	20.11	11.61	17.22	16.3133333333333	4.32192472555149
Sm_t00000119-RA	12.02	18.93	24.49	18.48	6.24716735809118
Sm_t00000121-RA	58.79	62.94	58.36	60.03	2.52928843748593
Sm_t00000127-RA	45.88	45.45	1.49	30.94	25.5053543398244
Sm_t00000129-RA	17.11	14.12	17.41	16.2133333333333	1.81907485644031
Sm_t00000131-RA	33.33	15.89	42.03	30.4166666666667	13.3112934508008
Sm_t00000133-RA	17.95	12.16	12.59	14.2333333333333	3.2259003911053
Sm_t00000134-RA	11.2	6.51	7.99	8.56666666666667	2.39758906681969
Sm_t00000135-RA	14.05	9.22	17.5	13.59	4.15912250360578
Sm_t00000137-RA	NA	58.78	63.3	61.04	3.19612265096319
Sm_t00000138-RA	22.43	27.57	28.74	26.2466666666667	3.35669976812543
Sm_t00000139-RA	15.58	10.59	21.34	15.8366666666667	5.37959416065314
Sm_t00000140-RA	50.88	48.38	44.57	47.9433333333333	3.17758293885987
Sm_t00000143-RA	21.61	15.29	24.03	20.31	4.51269320916014
Sm_t00000144-RA	27.39	19.92	25.28	24.1966666666667	3.85103016520688
Sm_t00000145-RA	34.47	36.71	31.84	34.34	2.43760127994715
Sm_t00000147-RA	18.07	16.66	16.54	17.09	0.850823130856232
Sm_t00000148-RA	26.4	13.63	14.39	18.14	7.16345586989967
Sm_t00000149-RA	48.65	68.58	51.09	56.1066666666667	10.8708984602623
Sm_t00000151-RA	12.27	27.58	18.27	19.3733333333333	7.71440427598485
Sm_t00000155-RA	26.22	32.28	20.24	26.2466666666667	6.02004429662551
Sm_t00000156-RA	26.16	48.09	42.44	38.8966666666667	11.386291465325
Sm_t00000157-RA	10.67	14.16	15.25	13.36	2.39250914313822
Sm_t00000159-RA	12.76	8.64	9.43	10.2766666666667	2.186603149484
Sm_t00000164-RA	32.87	16.54	29.15	26.1866666666667	8.55881027557764
Sm_t00000165-RA	31.9	34.79	38.36	35.0166666666667	3.23595941466103
Sm_t00000166-RA	30.21	29	33.75	30.9866666666667	2.46840704368897
Sm_t00000170-RA	24.3	27.19	22.81	24.7666666666667	2.22697852107589
Sm_t00000175-RA	6.82	1.35	8.89	5.68666666666667	3.89566853483883
Sm_t00000177-RA	64.04	60.91	56.05	60.3333333333333	4.02609405420854
Sm_t00000178-RA	13.67	15.2	19.3	16.0566666666667	2.91112234942699
Sm_t00000182-RA	22.6	22.09	26.72	23.8033333333333	2.538746409812
Sm_t00000183-RA	14.4	12.4	16.51	14.4366666666667	2.05524532193442
Sm_t00000184-RA	22.71	20.9	25.2	22.9366666666667	2.15894264243711
Sm_t00000185-RA	16.65	9.35	11.06	12.3533333333333	3.81798812640025
Sm_t00000186-RA	41.38	20.54	NA	30.96	14.7361053199277
Sm_t00000188-RA	31.77	19.62	23.43	24.94	6.21415320055758
Sm_t00000190-RA	17.09	17.45	26.04	20.1933333333333	5.06656030590117
Sm_t00000194-RA	22.51	7.93	17.68	16.04	7.42706536930974
Sm_t00000195-RA	15.29	15.92	22.36	17.8566666666667	3.91270153900516
Sm_t00000197-RA	44.54	40.7	46.84	44.0266666666667	3.10202084669548
Sm_t00000198-RA	22.9	23.3	21.4	22.5333333333333	1.00166528008778
Sm_t00000200-RA	23.79	33.33	20.44	25.8533333333333	6.68812629466081
Sm_t00000201-RA	27.24	27.68	21.44	25.4533333333333	3.48260438943807
Sm_t00000204-RA	44.94	50.95	53.11	49.6666666666667	4.23348949843192
Sm_t00000205-RA	5.99	13	12.81	10.6	3.99350723049302
Sm_t00000206-RA	NA	11.96	26.14	19.05	10.0267741572252
Sm_t00000207-RA	NA	41.09	61.45	51.27	14.3966940649581
Sm_t00000208-RA	12.68	8.58	15.36	12.2066666666667	3.41469373931738
Sm_t00000209-RA	23.75	23.55	22.57	23.29	0.631506136153878
Sm_t00000210-RA	30.9	35.97	30.35	32.4066666666667	3.09816612423113
Sm_t00000211-RA	15.84	13.3	25.24	18.1266666666667	6.28987546246611
Sm_t00000212-RA	14.59	24.58	18.48	19.2166666666667	5.03557676272871
Sm_t00000214-RA	24.53	29.96	40.4	31.63	8.06572377409492
Sm_t00000215-RA	19.14	10.72	23.01	17.6233333333333	6.28380723234993
Sm_t00000216-RA	NA	31.91	31.8	31.855	0.0777817459305198
Sm_t00000217-RA	58.57	47.42	48.48	51.49	6.15432368339528
Sm_t00000220-RA	100	100	100	100	0
Sm_t00000221-RA	16.47	16.4	11.93	14.9333333333333	2.60119844174437
Sm_t00000222-RA	38.62	31.18	44.38	38.06	6.61779419444274
Sm_t00000224-RA	44.88	51.05	44.16	46.6966666666667	3.78724614110746
Sm_t00000225-RA	25.62	23.8	13.96	21.1266666666667	6.27287281341917
Sm_t00000226-RA	14.06	10.39	7.04	10.4966666666667	3.51121536413438
Sm_t00000228-RA	30.9	19.62	20.27	23.5966666666667	6.33321666559208
Sm_t00000229-RA	29.78	34.13	32.8	32.2366666666667	2.22904314299507
Sm_t00000230-RA	14.06	9.88	8.64	10.86	2.83978872453568
Sm_t00000231-RA	34.26	12.29	32.16	26.2366666666667	12.1237219257674
Sm_t00000233-RA	12.29	12.34	6.91	10.5133333333333	3.12067834506111
Sm_t00000234-RA	NA	54	57.73	55.865	2.63750829382582
Sm_t00000235-RA	51.03	59.74	61.66	57.4766666666667	5.66491247358097
