gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	21.41	14.86	21.76	19.3433333333333	3.8866223553792
Sm_t00000002-RA	20.42	8.21	NA	14.315	8.63377379828775
Sm_t00000005-RA	20.81	20.19	24.83	21.9433333333333	2.51907390390463
Sm_t00000008-RA	7.95	7.87	12.08	9.3	2.40788288751758
Sm_t00000013-RA	32.09	23.37	NA	27.73	6.1659711319467
Sm_t00000018-RA	27.27	100	NA	63.635	51.4278761956976
Sm_t00000020-RA	25.58	23.95	29.24	26.2566666666667	2.70913885456861
Sm_t00000025-RA	44.05	40	34.86	39.6366666666667	4.60576088538401
Sm_t00000033-RA	39.6	36.82	28.51	34.9766666666667	5.77021952210948
Sm_t00000037-RA	44.94	41.83	41.65	42.8066666666667	1.84971168924601
Sm_t00000040-RA	54.94	51.1	NA	53.02	2.71529003975634
Sm_t00000050-RA	69.05	39.72	37.82	48.8633333333333	17.5079591424396
Sm_t00000051-RA	10.86	12.43	17.04	13.4433333333333	3.21220069941673
Sm_t00000054-RA	10.04	10.62	21.91	14.19	6.6920026897783
Sm_t00000055-RA	52.6	41.87	49.88	48.1166666666667	5.57810302283253
Sm_t00000056-RA	20.21	11.3	29.13	20.2133333333333	8.91500046737707
Sm_t00000057-RA	8.45	6.89	11.29	8.87666666666667	2.23081449998276
Sm_t00000058-RA	21.56	13.4	34.1	23.02	10.4269458615646
Sm_t00000059-RA	41.49	34.74	31.46	35.8966666666667	5.11406231222629
Sm_t00000060-RA	16.12	15.64	13.65	15.1366666666667	1.30966916942155
Sm_t00000061-RA	16.41	18.31	14.29	16.3366666666667	2.01100306646542
Sm_t00000064-RA	21.92	19.92	22.55	21.4633333333333	1.3731836488006
Sm_t00000066-RA	7.89	19.35	29.41	18.8833333333333	10.7675871639534
Sm_t00000068-RA	22.47	15.33	22.15	19.9833333333333	4.03307988184382
Sm_t00000069-RA	13.89	15.86	22.86	17.5366666666667	4.71419487646972
Sm_t00000071-RA	47.96	45	50.83	47.93	2.91511577814673
Sm_t00000073-RA	55.37	41.79	44.85	47.3366666666667	7.12332319450222
Sm_t00000074-RA	25.07	26.99	NA	26.03	1.35764501987817
Sm_t00000075-RA	17.01	42.21	NA	29.61	17.819090885901
Sm_t00000076-RA	54.64	62.14	60.08	58.9533333333333	3.87485913722465
Sm_t00000077-RA	8.77	8.28	2.96	6.67	3.22228180021549
Sm_t00000078-RA	16.88	15.89	16.7	16.49	0.527351874937408
Sm_t00000079-RA	42.03	43.51	37.69	41.0766666666667	3.02485261348935
Sm_t00000081-RA	20.41	19.37	14.75	18.1766666666667	3.01279493715277
Sm_t00000086-RA	18.72	13.95	31.08	21.25	8.84080878653079
Sm_t00000087-RA	74.73	78.15	74.84	75.9066666666667	1.94356202199295
Sm_t00000088-RA	15.31	16.52	54.28	28.7033333333333	22.1583039362974
Sm_t00000091-RA	6.34	10.05	39.18	18.5233333333333	17.985116995264
Sm_t00000092-RA	15.25	8.35	27.44	17.0133333333333	9.66638677755724
Sm_t00000096-RA	5.51	4.48	11.89	7.29333333333333	4.01400465038761
Sm_t00000097-RA	24.11	25.88	29.73	26.5733333333333	2.87343580637072
Sm_t00000098-RA	26.55	17.46	20.01	21.34	4.68867785201756
Sm_t00000099-RA	26.92	28.05	24.49	26.4866666666667	1.81912982860854
Sm_t00000100-RA	30.32	30.99	37.96	33.09	4.23082734225825
Sm_t00000103-RA	14	14.47	19.99	16.1533333333333	3.33095081520777
Sm_t00000104-RA	25.14	30.42	33.32	29.6266666666667	4.14730434539513
Sm_t00000105-RA	46.76	49.96	46.46	47.7266666666667	1.9399312702602
Sm_t00000106-RA	23.05	62.43	15.57	33.6833333333333	25.1747042352702
