gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	17.2	26.07	22.6	21.9566666666667	4.46985831244496
Sm_t00000002-RA	24.04	16.45	9.61	16.7	7.21824770979772
Sm_t00000005-RA	22.61	18.49	20.14	20.4133333333333	2.07355572226389
Sm_t00000008-RA	10.68	7.72	9.79	9.39666666666667	1.51869461490233
Sm_t00000013-RA	17.25	28.54	24.08	23.29	5.68630811687161
Sm_t00000018-RA	13.22	100	31.06	48.0933333333333	45.8289530028053
Sm_t00000020-RA	18.43	25.36	28.22	24.0033333333333	5.03402754594503
Sm_t00000025-RA	43.06	45.38	42.64	43.6933333333333	1.47571451620337
Sm_t00000033-RA	18.33	26.13	24.19	22.8833333333333	4.06085376901623
Sm_t00000037-RA	35.13	38.34	47.49	40.32	6.41347799559646
Sm_t00000040-RA	31.98	NA	36.57	34.275	3.24562012564625
Sm_t00000043-RA	NA	26.58	31.94	29.26	3.7900923471599
Sm_t00000050-RA	NA	39.44	38.69	39.065	0.530330085889911
Sm_t00000051-RA	23.24	16.77	17.07	19.0266666666667	3.65193555985498
Sm_t00000054-RA	9.4	15.99	13.43	12.94	3.3222131177876
Sm_t00000055-RA	30.7	43.05	28.05	33.9333333333333	8.00567507043181
Sm_t00000056-RA	22.23	14.19	14.51	16.9766666666667	4.55233273534935
Sm_t00000057-RA	9.14	16.14	12.18	12.4866666666667	3.51006172785228
Sm_t00000058-RA	29.08	30.23	27.97	29.0933333333333	1.13005899551012
Sm_t00000059-RA	22.83	24.46	29.68	25.6566666666667	3.57835623343084
Sm_t00000060-RA	18.05	19.35	11.58	16.3266666666667	4.16180649878551
Sm_t00000061-RA	3.9	10.72	14.92	9.84666666666667	5.56166641694136
Sm_t00000064-RA	34.42	26.28	27.04	29.2466666666667	4.49632442483117
Sm_t00000066-RA	45.45	5.88	9.09	20.14	21.9777865127496
Sm_t00000068-RA	26.54	23.84	19.64	23.34	3.47706773014274
Sm_t00000069-RA	17.58	22.9	16.01	18.83	3.61108017080762
Sm_t00000070-RA	NA	21.04	21.91	21.475	0.615182899632297
Sm_t00000071-RA	47.49	44.06	40.46	44.0033333333333	3.51534256272889
Sm_t00000073-RA	33.1	39.73	44.38	39.07	5.66888877999913
Sm_t00000074-RA	29.86	34.45	37.11	33.8066666666667	3.66756504145916
Sm_t00000075-RA	NA	19.08	39.67	29.375	14.559328624631
Sm_t00000076-RA	55.27	56.49	44.76	52.1733333333333	6.44904902550239
Sm_t00000077-RA	11.86	12.12	11.09	11.69	0.535630469633683
Sm_t00000078-RA	14.18	14.99	15.78	14.9833333333333	0.800020833062073
Sm_t00000079-RA	35.15	40.04	27.09	34.0933333333333	6.53934502326749
Sm_t00000081-RA	27.62	21.25	14.13	21	6.7484739015573
Sm_t00000084-RA	NA	31.43	39.94	35.685	6.01747870789752
Sm_t00000086-RA	30.05	24.62	23.08	25.9166666666667	3.66145235300602
Sm_t00000087-RA	64.4	70.78	74.2	69.7933333333333	4.97394544937249
Sm_t00000088-RA	27.71	42.55	58.94	43.0666666666667	15.621409454122
Sm_t00000091-RA	13.69	14.34	20.27	16.1	3.62592057276494
Sm_t00000092-RA	14.99	8.95	5.34	9.76	4.87572558702805
Sm_t00000096-RA	9.53	2.31	8.07	6.63666666666667	3.81745115664016
Sm_t00000097-RA	28.07	27.87	27.29	27.7433333333333	0.405133722779694
Sm_t00000098-RA	19.42	25.23	22.32	22.3233333333333	2.90500143430831
Sm_t00000099-RA	26.22	30.96	28.05	28.41	2.39041837342336
Sm_t00000100-RA	24.61	26.37	25.01	25.33	0.922605007573664
Sm_t00000103-RA	12.59	12.93	14.14	13.22	0.814677850441511
Sm_t00000104-RA	31.22	23.9	23.47	26.1966666666667	4.35564384831144
Sm_t00000105-RA	47.71	43.23	51.34	47.4266666666667	4.06241717864295
Sm_t00000106-RA	13	26.36	18.67	19.3433333333333	6.70540329386185
Sm_t00000107-RA	9.51	19.53	7.94	12.3266666666667	6.28746636836598
Sm_t00000108-RA	50.53	73.45	70.91	64.9633333333333	12.5639855672208
Sm_t00000111-RA	36.99	16.97	20.97	24.9766666666667	10.5943444031867
Sm_t00000114-RA	24.18	21.38	23.85	23.1366666666667	1.53023963265017
Sm_t00000117-RA	19.44	18.54	14.85	17.61	2.43222120704512
Sm_t00000118-RA	27.2	16.92	8.03	17.3833333333333	9.5933952974603
Sm_t00000119-RA	11.57	9.55	11.74	10.9533333333333	1.2182911529406
Sm_t00000121-RA	36.06	51.41	50.45	45.9733333333333	8.59860647624563
Sm_t00000127-RA	2.56	14.71	14.81	10.6933333333333	7.04385074609999
Sm_t00000129-RA	19.06	13.84	20.06	17.6533333333333	3.34007983936512
Sm_t00000131-RA	20	29.41	15.15	21.52	7.25049653472091
Sm_t00000133-RA	2.97	4.48	10.29	5.91333333333333	3.86476821210966
Sm_t00000134-RA	20.48	7.81	20.26	16.1833333333333	7.25235364094535
Sm_t00000135-RA	9.16	11.49	13.17	11.2733333333333	2.01376099210739
Sm_t00000137-RA	33.11	30.42	40.65	34.7266666666667	5.30315315009225
