gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	19.23	20.53	14.87	18.21	2.96465849635333
Sm_t00000002-RA	18.91	16.95	18.6	18.1533333333333	1.05358119446644
Sm_t00000005-RA	16.07	29.08	34.46	26.5366666666667	9.45512735680135
Sm_t00000008-RA	5.38	7.87	6.79	6.68	1.24863925935396
Sm_t00000013-RA	26.96	38.76	40.01	35.2433333333333	7.20075227551492
Sm_t00000018-RA	3.23	NA	16.67	9.95	9.5035151391472
Sm_t00000020-RA	21.17	17.35	19.05	19.19	1.91384429878713
Sm_t00000025-RA	43.19	34.96	44.27	40.8066666666667	5.09207554277559
Sm_t00000033-RA	33.82	31.07	39.26	34.7166666666667	4.1679771272565
Sm_t00000037-RA	41.74	42.82	39.46	41.34	1.71534253139133
Sm_t00000040-RA	42.52	NA	48.12	45.32	3.95979797464466
Sm_t00000050-RA	53.09	49.11	55.76	52.6533333333333	3.34643591501964
Sm_t00000051-RA	8.89	9.17	8.29	8.78333333333333	0.44959240800233
Sm_t00000054-RA	14.48	9.37	14.07	12.64	2.83931329726045
Sm_t00000055-RA	48.34	43.35	55.23	48.9733333333333	5.96526892380665
Sm_t00000056-RA	17.91	21.46	17.47	18.9466666666667	2.18770046700487
Sm_t00000057-RA	10.1	9.41	8.53	9.34666666666667	0.786913802988189
Sm_t00000058-RA	20.13	19.62	25.65	21.8	3.34393480797697
Sm_t00000059-RA	30.57	39.37	32.16	34.0333333333333	4.68956643340654
Sm_t00000060-RA	15.09	12.56	14.96	14.2033333333333	1.42465200429204
Sm_t00000061-RA	9.95	17.46	11.38	12.93	3.98771864604312
Sm_t00000064-RA	21.45	18.91	18.32	19.56	1.66315964357003
Sm_t00000066-RA	8.96	6.25	48.72	21.31	23.7763979610033
Sm_t00000068-RA	14.47	17.71	12.45	14.8766666666667	2.65347570807297
Sm_t00000069-RA	20.47	10.27	7.15	12.63	6.96654864333839
Sm_t00000071-RA	43.26	49.32	44.06	45.5466666666667	3.29219278495858
Sm_t00000073-RA	58.59	48.06	53.78	53.4766666666667	5.27154942434701
Sm_t00000074-RA	31.82	38.99	30.66	33.8233333333333	4.51189908279577
Sm_t00000075-RA	34.33	20.17	27.27	27.2566666666667	7.08000941618959
Sm_t00000076-RA	63.19	32.82	51.99	49.3333333333333	15.3583082835752
Sm_t00000077-RA	2.65	6.67	6.04	5.12	2.1621517060558
Sm_t00000078-RA	16.29	18.06	16.77	17.04	0.915368778143541
Sm_t00000079-RA	37.74	44.04	57.59	46.4566666666667	10.1432654176716
Sm_t00000081-RA	19.03	16.68	18.49	18.0666666666667	1.2308669031757
